"whole","cyto","nuc"
44.78,31.25,99.91
13.44,2.52,4.82
4.41,0.63,2.43
0.02,0.05,0.04
71.03,16.15,15.34
58.68,145.07,183.08
0.6,0.61,7.86
0,0,0
14.72,9.56,5.02
78.63,25.72,50.83
11.27,2.39,3.12
0,0,0
0.46,0.45,1.11
3.13,1.59,6.67
32.24,6.05,3.53
2.18,0.93,1.96
8.82,5.22,5.91
10.71,5.27,5.76
437.35,69.62,73.18
0.19,0.01,0.01
38.28,5.18,5.1
4.96,1.86,2.51
0,0,0.04
1.32,0.07,0.53
173.31,76.32,70.87
6.9,4.61,16.08
34.86,7.77,3.1
0.45,0.04,0.04
25.8,24.95,12.28
49.78,22.51,13.53
8.75,3.62,2.32
12.5,1.75,1.54
20.54,3.54,12.21
0.12,0.08,0.04
131.23,42.28,104.04
36.8,8.23,12.65
0.14,0.05,0.04
0.05,0.03,0.13
3.3,9.88,56.48
70.74,86.67,90.73
17.03,2.98,5.65
93.12,21.53,23.47
19.42,2.72,1.63
26.22,6.94,5.59
29.52,11.06,7.75
9.98,7.38,2.48
8.01,19,96.21
13.01,35.26,169.58
10.48,5.09,7.31
12.23,9.85,23.65
60.79,18.85,70.17
33.88,16.6,23.74
13.32,8.18,7.33
5.61,1.34,2.18
26.13,3.85,4.58
6.4,3.22,3.29
42.77,6.2,12.61
0.14,0.2,0.69
4.56,7.93,18.8
103.17,183.64,281.81
0.35,0.05,0.08
132.75,46.39,104.07
0,0,0
75.51,25.89,44.97
12.19,28.31,51.58
0.05,0.05,0.13
0.05,0.01,0.01
16.36,3.19,5.01
4.62,6.3,23.57
63.38,41.34,28.84
0.03,0.01,0
8.17,0.96,1.61
22.5,3.56,4.28
3.84,1.68,0.91
26.34,51.26,97.69
13.61,1.32,0.93
15.76,32.19,141.94
0.02,0.02,0.03
0.06,0.09,0.55
0,0,0
6.02,3.3,11.01
147.26,48,22.47
115.3,57.25,20.97
0.2,0.12,0.04
14.27,20.21,143.43
2.71,5.94,40.92
41.47,2.97,6.97
0.46,0.05,0.22
0,0,0
44.16,8.92,4.96
2.06,2.24,2.56
4.25,0.33,0.79
198.77,86.39,102.56
0.07,0.12,0.69
164.55,331.87,378.44
23.58,18.06,31.71
15.28,5.33,4.65
482.86,71.69,88.99
17.01,2.56,2
18.11,96.29,606.33
0.01,0,0.05
438.93,192.83,139.81
6.54,0.88,5.95
0.86,1.65,11.03
4.17,10.24,53.7
1054.22,2014.49,1970.53
6.7,3.19,10.45
38.96,59.73,83.28
