,total,Cytosol,Insoluable,Membrane,Nucleus
ENSG00000006756.15,0.115381972,0.015730827,0.099613678,0.020031092,0.254164995
ENSG00000006757.11,21.61744948,53.42470826,31.07170761,38.65281957,16.57826731
ENSG00000006788.12,0,0,0,0,0
ENSG00000006831.9,44.7609418,4.834688739,24.47649605,15.48378166,44.22864341
ENSG00000006837.11,0.914727163,1.753526313,1.520799697,1.168258863,1.112968907
ENSG00000007001.12,0.02,0,0,0,0
ENSG00000007038.10,77.64439976,77.59863007,42.62813007,73.07254952,114.0339267
ENSG00000007047.14,17.15156831,5.89682105,10.50783465,13.0114924,14.33746489
ENSG00000007062.11,0,0,0,0.004984454,0
ENSG00000007080.10,118.6809822,257.8829233,95.35827508,252.3519064,99.41024075
ENSG00000007129.17,0.743308408,0.287563911,0.322937994,0.274766812,0.928989469
ENSG00000007168.12,52.48989087,17.85007675,40.98653067,20.34811318,38.12325977
ENSG00000007171.16,0,0,0.01,0.010031092,0.015278335
ENSG00000007174.17,0,0,0,0,0
ENSG00000007202.14,99.19092562,3.643830091,33.22604806,5.702776942,113.816868
ENSG00000007216.14,0,0,0,0,0
ENSG00000007237.18,0.286036782,0.061833084,0.084510334,0.074828996,0.06111334
ENSG00000007255.10,18.97381972,18.26802706,20.89549941,21.5181869,23.20158477
ENSG00000007264.13,25.02589329,26.74937293,16.76226382,35.70321223,22.8069709
ENSG00000007306.14,0,0,0,0,0
ENSG00000007312.12,0.070763945,0.13,0.159200303,0.325015546,0.153793881
ENSG00000007314.11,2.13109135,1.552204514,1.568068392,1.668041221,3.106577232
ENSG00000007341.18,21.64167138,11.83190529,10.25757385,12.42996891,36.18907971
ENSG00000007350.16,0.195163702,0.025243609,0.351365653,0.11981345,0.103793881
ENSG00000007372.20,13.36570332,3.665151889,8.135391194,5.691191264,19.56416499
ENSG00000007376.7,32.45643896,19.62247967,24.89971215,30.15466376,34.87047642
ENSG00000007384.15,3.596473322,0.508538346,1.678014284,0.635233188,9.282743226
ENSG00000007392.16,70.19692198,38.35661354,37.1229553,40.96926358,167.2325551
ENSG00000007402.11,0.254836298,0.059512782,0.16,0.160093275,0.392680541
ENSG00000007516.13,4.366800727,0.161345866,0.457475382,0.279844541,8.047590259
ENSG00000007520.3,40.68545675,112.6297112,44.72458175,101.3792032,33.47655467
ENSG00000007541.15,32.01261318,10.91566317,12.48172492,18.23364751,54.20361332
ENSG00000007545.15,16.14971301,0.327563911,2.86059301,0.554580262,22.4562713
ENSG00000007866.18,9.068110347,1.465012034,4.774896656,3.349533624,9.173959375
ENSG00000007908.15,0,0,0.005489666,0,0
ENSG00000007923.15,75.82480194,9.703574448,43.32216535,22.26311895,85.97852553
ENSG00000007933.12,0,0,0,0,0
ENSG00000007944.14,24.2212409,0.81598647,8.477421274,3.105139913,48.54734701
ENSG00000007952.17,0,0.010487218,0,0,0
ENSG00000007968.6,15.62109135,0.758538346,6.615903041,1.859564716,20.97049648
ENSG00000008018.8,473.1359923,452.4774845,786.7778639,349.1801422,374.3281471
ENSG00000008056.12,0.309454325,0.115243609,0.16,0.204891179,0.27055667
ENSG00000008083.13,21.16527284,0.660858648,7.182785414,1.809844541,23.48367101
ENSG00000008086.10,0.06,0.004756391,0.014510334,0,0.084907222
ENSG00000008118.9,0,0,0,0,0
ENSG00000008128.22,60.02949474,7.351321798,21.99,9.352839125,143.9694683
ENSG00000008130.15,99.03566896,33.95387823,39.67764527,55.7092538,152.4591774
ENSG00000008196.12,0,0,0,0,0.035649449
ENSG00000008197.4,0,0,0,0,0
ENSG00000008226.19,0.040109135,0.055243609,0.06,0.049937817,0.163979438
ENSG00000008256.15,13.95058003,1.315127821,5.124330701,3.844518078,15.82144433
ENSG00000008277.14,0.378144705,0.038538346,0.101958662,0.085171004,0.323237211
ENSG00000008282.8,88.39884599,30.43991738,41.04334163,26.51238253,97.90954864
ENSG00000008283.15,25.8896726,8.001230079,11.11543556,13.64461135,38.11328233
ENSG00000008294.20,51.55724333,2.394896246,15.75523861,3.707046286,59.98245985
ENSG00000008300.14,1.78043654,0.064756391,0.478813981,0.13,4.457279334
ENSG00000008311.14,0.065491107,0,0.014510334,0,0.144907222
ENSG00000008323.15,0.070109135,0.161833084,0.243710637,0.329347074,0.096020562
ENSG00000008324.10,52.44689774,100.6137911,70.49129206,98.94783511,56.08742477
ENSG00000008382.15,11.17872474,8.485383464,9.70203008,13.21164786,10.31705116
ENSG00000008394.12,42.15836298,87.6182196,48.13670056,57.68294218,54.35765045
ENSG00000008405.11,21.13330841,1.540627073,11.52717022,3.102963492,23.56746489
ENSG00000008438.4,0,0,0,0,0
ENSG00000008441.16,11.95923606,0.860858648,3.390027054,2.369440349,8.012640416
ENSG00000008513.14,6.454979791,2.652320302,1.68507629,2.065108821,7.84934052
ENSG00000008516.16,0.079236055,0.03,0.01,0.045108821,0.21
ENSG00000008517.16,0.224290623,0.274269173,0.363351369,0.25981345,0.749814443
ENSG00000008710.17,65.83476152,2.355036102,5.606496051,2.836321398,109.4660405
ENSG00000008735.13,0.21065481,0.024756391,0.064510334,0.069937817,0.14
